date,temperature,humidity,wind_speed,description
18/12/2023,24.49,44,2.24,overcast clouds
21/12/2023,22.02,55,4.02,scattered clouds
24/12/2023,21.05,65,4.12,scattered clouds
01/01/2023,30.91,46,8.8,clear sky
04/01/2023,15.88,71,8.8,light rain
07/01/2023,24.88,48,6.7,clear sky
30/01/2023,19.82,66,6.7,broken clouds
02/02/2023,18.28,43,7.7,scattered clouds
05/02/2023,18.58,63,4.12,broken clouds
28/02/2023,17.27,82,0.45,light rain
03/03/2023,18.1,59,7.2,broken clouds
06/03/2023,20.23,55,2.68,broken clouds
09/03/2023,17.6,58,7.72,broken clouds
01/04/2023,15.38,59,1.79,light rain
04/04/2023,20.0,74,9.26,few clouds
07/04/2023,19.01,76,9.26,light rain
30/04/2023,11.3,82,2.06,clear sky
03/05/2023,13.8,69,12.35,broken clouds
06/05/2023,10.35,92,0.45,light rain
01/06/2023,13.76,76,4.63,few clouds
04/06/2023,11.1,95,2.57,mist
07/06/2023,17.8,80,10.29,moderate rain
30/06/2023,12.48,81,7.72,broken clouds
03/07/2023,9.42,89,2.57,broken clouds
06/07/2023,12.82,77,8.23,broken clouds
29/07/2023,14.23,78,6.17,scattered clouds
19/01/2023,17.79,45,10.3,broken clouds
22/01/2023,21.77,68,4.63,scattered clouds
25/01/2023,25.55,58,3.6,clear sky
28/01/2023,28.78,41,6.2,clear sky
20/02/2023,21.89,71,2.57,few clouds
23/02/2023,25.05,43,12.86,clear sky
26/02/2023,19.68,66,3.09,broken clouds
01/03/2023,17.92,79,5.66,light rain
21/03/2023,17.38,64,1.54,broken clouds
24/03/2023,17.59,77,2.68,broken clouds
27/03/2023,16.31,89,3.6,light rain
30/03/2023,16.39,68,7.72,light rain
22/04/2023,15.83,86,1.54,broken clouds
25/04/2023,20.33,68,7.72,clear sky
28/04/2023,20.07,57,5.14,broken clouds
21/05/2023,11.92,88,7.72,light intensity shower rain
24/05/2023,12.49,71,8.23,few clouds
27/05/2023,12.53,69,5.66,clear sky
30/05/2023,15.05,79,5.14,broken clouds
19/06/2023,7.63,92,1.34,light rain
22/06/2023,9.96,74,5.14,clear sky
25/06/2023,9.65,64,10.8,light rain
28/06/2023,11.38,80,2.24,overcast clouds
21/07/2023,9.43,79,4.63,few clouds
24/07/2023,10.51,85,3.09,broken clouds
27/07/2023,11.47,79,10.29,few clouds
19/08/2023,13.82,82,2.24,overcast clouds
22/08/2023,13.62,85,5.14,shower rain
25/08/2023,15.26,63,3.58,broken clouds
28/08/2023,12.75,88,1.79,overcast clouds
17/09/2023,19.82,54,6.17,clear sky
20/09/2023,15.55,63,2.68,light rain
23/09/2023,13.09,64,2.06,broken clouds
26/09/2023,14.89,61,3.09,few clouds
19/10/2023,24.17,45,6.17,clear sky
22/10/2023,14.52,72,2.24,light rain
25/10/2023,13.64,52,7.72,light rain
28/10/2023,18.32,50,12.86,overcast clouds
17/11/2023,15.93,56,2.68,overcast clouds
20/11/2023,16.61,74,4.63,broken clouds
23/11/2023,20.47,68,0.89,overcast clouds
26/11/2023,17.32,86,3.6,light intensity shower rain
19/12/2023,14.93,88,5.14,light rain
22/12/2023,21.12,42,4.63,scattered clouds
25/12/2023,18.12,91,2.68,light rain
10/01/2023,18.46,68,4.63,overcast clouds
13/01/2023,21.01,80,4.12,broken clouds
16/01/2023,19.6,65,2.1,clear sky
11/02/2023,28.77,44,4.63,clear sky
14/02/2023,20.21,55,5.7,broken clouds
17/02/2023,31.74,32,10.8,clear sky
12/03/2023,18.12,68,3.58,light rain
15/03/2023,20.77,79,2.57,broken clouds
18/03/2023,25.83,41,3.58,broken clouds
10/04/2023,12.47,88,6.17,light intensity shower rain
13/04/2023,17.0,84,3.6,few clouds
16/04/2023,12.64,93,7.72,light intensity shower rain
19/04/2023,15.07,73,5.14,broken clouds
12/05/2023,15.13,74,1.34,overcast clouds
15/05/2023,17.43,66,8.75,clear sky
18/05/2023,10.67,88,3.6,broken clouds
10/06/2023,11.92,76,7.72,few clouds
13/06/2023,12.17,78,4.92,overcast clouds
16/06/2023,13.18,69,7.72,clear sky
09/07/2023,13.32,82,1.79,light rain
12/07/2023,14.19,76,6.69,few clouds
15/07/2023,11.99,67,5.14,broken clouds
18/07/2023,11.28,69,3.13,clear sky
10/08/2023,12.45,78,8.23,light rain
13/08/2023,9.87,90,2.06,light intensity shower rain
16/08/2023,9.75,73,6.17,few clouds
08/09/2023,10.7,69,10.8,light rain
11/09/2023,13.33,76,1.54,broken clouds
14/09/2023,20.62,59,8.75,clear sky
10/10/2023,13.27,75,3.09,broken clouds
13/10/2023,14.27,76,7.72,broken clouds
16/10/2023,11.53,78,1.79,light rain
08/11/2023,27.57,45,8.75,clear sky
11/11/2023,17.33,73,7.72,broken clouds
14/11/2023,14.15,80,3.09,broken clouds
07/12/2023,18.54,63,2.06,broken clouds
10/12/2023,17.58,83,4.63,broken clouds
13/12/2023,30.57,59,8.23,clear sky
16/12/2023,20.21,55,6.69,broken clouds
08/02/2023,19.57,62,4.12,clear sky
09/05/2023,12.35,90,1.34,light rain
07/10/2023,13.0,57,5.66,broken clouds
01/08/2023,13.22,79,5.66,light intensity shower rain
04/08/2023,17.22,58,5.36,broken clouds
07/08/2023,11.18,84,1.03,broken clouds
30/08/2023,12.59,91,6.69,light rain
02/09/2023,10.52,77,0.45,clear sky
05/09/2023,12.09,74,2.24,light rain
28/09/2023,15.6,63,1.34,few clouds
01/10/2023,18.42,58,11.83,few clouds
04/10/2023,10.81,93,5.14,light rain
27/10/2023,16.28,53,3.09,few clouds
30/10/2023,21.09,44,6.69,scattered clouds
02/11/2023,14.3,65,4.63,broken clouds
05/11/2023,18.55,62,2.57,broken clouds
28/11/2023,18.09,81,1.03,broken clouds
01/12/2023,18.55,72,4.63,broken clouds
04/12/2023,26.78,46,6.69,broken clouds
27/12/2023,22.14,76,4.12,light rain
30/12/2023,16.38,81,8.75,light rain
14/01/2023,29.21,52,8.8,clear sky
20/01/2023,19.23,51,3.6,clear sky
15/02/2023,26.44,50,9.77,clear sky
18/02/2023,19.93,65,3.6,broken clouds
21/02/2023,17.88,69,8.23,overcast clouds
16/03/2023,22.17,63,6.69,few clouds
19/03/2023,17.81,77,3.6,light intensity drizzle
22/03/2023,20.19,81,3.09,few clouds
14/04/2023,14.93,91,3.09,broken clouds
17/04/2023,16.44,69,0.89,few clouds
20/04/2023,14.33,75,0.45,scattered clouds
16/05/2023,12.06,91,5.66,light intensity shower rain
19/05/2023,12.17,83,1.34,light rain
22/05/2023,12.72,74,5.66,broken clouds
