date,temperature,humidity,wind_speed,description
24/12/2023,20.97,74,5.14,light intensity shower rain
01/01/2023,24.61,70,7.72,light rain
04/01/2023,24.2,73,5.1,broken clouds
07/01/2023,18.0,90,8.8,light intensity shower rain
30/01/2023,22.84,81,4.6,light rain
02/02/2023,25.99,66,6.7,broken clouds
05/02/2023,25.32,35,3.6,clear sky
28/02/2023,23.66,71,2.06,broken clouds
03/03/2023,24.21,76,2.57,moderate rain
06/03/2023,32.22,37,10.29,clear sky
09/03/2023,24.41,42,5.14,few clouds
01/04/2023,18.32,76,5.67,light rain
04/04/2023,21.55,73,2.06,light rain
07/04/2023,17.59,83,4.63,light rain
30/04/2023,16.57,77,0.45,light rain
03/05/2023,20.31,54,8.23,clear sky
06/05/2023,16.36,58,4.12,clear sky
01/06/2023,17.07,65,3.09,clear sky
04/06/2023,16.92,75,5.14,light rain
07/06/2023,17.29,77,3.6,scattered clouds
30/06/2023,12.74,55,8.23,clear sky
03/07/2023,13.04,71,0.45,overcast clouds
06/07/2023,13.65,65,6.17,few clouds
29/07/2023,18.92,60,3.09,clear sky
19/01/2023,18.94,79,11.32,light rain
22/01/2023,18.81,89,3.6,moderate rain
25/01/2023,24.92,71,4.12,broken clouds
28/01/2023,27.77,67,3.6,broken clouds
20/02/2023,26.63,69,3.6,few clouds
23/02/2023,20.14,75,2.68,heavy intensity rain
26/02/2023,26.48,56,3.6,clear sky
01/03/2023,26.6,59,1.34,broken clouds
21/03/2023,20.88,62,5.66,broken clouds
24/03/2023,23.16,77,7.72,light rain
27/03/2023,20.69,88,4.63,light rain
30/03/2023,21.21,48,6.69,clear sky
22/04/2023,18.42,77,6.69,light rain
25/04/2023,21.37,72,3.6,few clouds
28/04/2023,20.89,68,3.6,clear sky
21/05/2023,16.31,50,10.8,clear sky
24/05/2023,13.81,63,4.63,clear sky
27/05/2023,12.64,61,3.6,few clouds
30/05/2023,15.68,57,5.14,clear sky
19/06/2023,10.27,62,4.63,clear sky
22/06/2023,11.28,64,2.57,broken clouds
25/06/2023,16.0,43,5.66,clear sky
28/06/2023,10.52,84,5.66,light rain
21/07/2023,14.42,58,7.2,broken clouds
24/07/2023,12.75,86,3.6,light rain
27/07/2023,13.79,61,4.12,few clouds
19/08/2023,14.17,44,7.72,clear sky
22/08/2023,18.95,54,4.12,clear sky
25/08/2023,16.51,64,4.12,clear sky
28/08/2023,17.85,67,3.6,scattered clouds
17/09/2023,26.38,29,5.14,clear sky
20/09/2023,28.73,22,10.8,clear sky
23/09/2023,17.15,60,1.54,broken clouds
26/09/2023,19.51,73,9.26,broken clouds
19/10/2023,20.07,59,2.57,broken clouds
22/10/2023,25.81,46,4.63,clear sky
25/10/2023,20.73,65,2.68,scattered clouds
28/10/2023,18.21,52,4.63,broken clouds
17/11/2023,18.76,62,10.8,broken clouds
20/11/2023,22.73,72,2.57,overcast clouds
23/11/2023,21.31,73,7.72,light rain
26/11/2023,27.36,56,5.14,few clouds
19/12/2023,27.86,70,2.57,clear sky
22/12/2023,21.27,57,8.75,broken clouds
25/12/2023,24.19,73,3.09,scattered clouds
10/01/2023,24.82,60,4.1,few clouds
13/01/2023,24.76,61,3.6,broken clouds
16/01/2023,26.0,60,5.14,scattered clouds
11/02/2023,27.82,61,4.12,clear sky
14/02/2023,19.47,89,2.6,light rain
17/02/2023,26.69,61,5.7,few clouds
12/03/2023,24.49,73,10.29,broken clouds
15/03/2023,24.82,72,1.34,few clouds
18/03/2023,26.66,67,4.63,few clouds
10/04/2023,17.21,47,6.69,few clouds
13/04/2023,16.81,82,7.72,moderate rain
16/04/2023,20.89,63,8.23,clear sky
19/04/2023,21.56,66,3.6,scattered clouds
12/05/2023,17.52,72,4.63,few clouds
15/05/2023,15.0,87,3.09,broken clouds
18/05/2023,14.44,70,7.72,light rain
10/06/2023,13.89,64,4.63,clear sky
13/06/2023,16.18,73,3.6,clear sky
16/06/2023,14.31,61,4.12,clear sky
09/07/2023,15.86,48,8.75,few clouds
12/07/2023,13.15,64,5.14,clear sky
15/07/2023,18.34,51,5.66,clear sky
18/07/2023,14.62,77,2.24,light rain
10/08/2023,19.18,41,6.69,clear sky
13/08/2023,15.26,63,5.66,broken clouds
16/08/2023,12.19,83,3.09,light rain
08/09/2023,13.68,84,5.66,light rain
11/09/2023,17.19,53,4.12,clear sky
14/09/2023,20.2,51,3.6,clear sky
10/10/2023,19.82,69,5.14,light intensity shower rain
13/10/2023,19.26,37,6.17,clear sky
16/10/2023,22.71,40,5.14,scattered clouds
08/11/2023,23.27,57,7.2,broken clouds
11/11/2023,24.13,67,4.12,broken clouds
14/11/2023,22.16,66,6.69,few clouds
07/12/2023,26.4,60,7.72,scattered clouds
10/12/2023,21.71,88,8.23,broken clouds
13/12/2023,26.46,64,8.23,broken clouds
16/12/2023,30.3,35,1.34,scattered clouds
08/02/2023,24.93,64,4.12,light intensity shower rain
09/05/2023,15.67,53,7.2,broken clouds
07/10/2023,16.69,56,8.23,scattered clouds
01/08/2023,15.91,49,5.66,clear sky
04/08/2023,16.8,63,2.57,clear sky
07/08/2023,14.04,79,4.12,light rain
30/08/2023,21.6,49,3.6,clear sky
02/09/2023,15.7,58,5.66,scattered clouds
05/09/2023,20.63,36,7.72,few clouds
28/09/2023,17.78,77,3.6,light rain
01/10/2023,29.37,31,10.29,clear sky
04/10/2023,23.42,57,6.69,clear sky
27/10/2023,15.9,74,8.75,light intensity drizzle
30/10/2023,28.47,30,7.72,clear sky
02/11/2023,20.24,55,1.79,broken clouds
05/11/2023,16.45,82,2.68,moderate rain
28/11/2023,20.34,76,8.23,light intensity drizzle
01/12/2023,24.43,60,4.63,scattered clouds
