order_date,product_id,product_category,quantity_sold
26/06/2023,2686282,Hair Care,30
29/06/2023,2686282,Hair Care,26
2/07/2023,2686282,Hair Care,42
5/07/2023,2686282,Hair Care,36
25/07/2023,2686282,Hair Care,14
28/07/2023,2686282,Hair Care,5
31/07/2023,2686282,Hair Care,5
3/08/2023,2686282,Hair Care,19
26/08/2023,2686282,Hair Care,16
29/08/2023,2686282,Hair Care,9
1/09/2023,2686282,Hair Care,16
24/09/2023,2686282,Hair Care,48
27/09/2023,2686282,Hair Care,23
30/09/2023,2686282,Hair Care,13
3/10/2023,2686282,Hair Care,10
23/10/2023,2686282,Hair Care,5
26/10/2023,2686282,Hair Care,10
29/10/2023,2686282,Hair Care,19
1/11/2023,2686282,Hair Care,21
24/11/2023,2686282,Hair Care,26
27/11/2023,2686282,Hair Care,9
30/11/2023,2686282,Hair Care,9
3/12/2023,2686282,Hair Care,11
23/12/2023,2686282,Hair Care,13
26/12/2023,2686282,Hair Care,61
29/12/2023,2686282,Hair Care,25
18/01/2023,2696343,Cosmetics,3
21/01/2023,2696343,Cosmetics,3
24/01/2023,2696343,Cosmetics,1
27/01/2023,2696343,Cosmetics,7
19/02/2023,2696343,Cosmetics,10
22/02/2023,2696343,Cosmetics,17
25/02/2023,2696343,Cosmetics,22
20/03/2023,2696343,Cosmetics,11
23/03/2023,2696343,Cosmetics,49
26/03/2023,2696343,Cosmetics,51
29/03/2023,2696343,Cosmetics,58
18/04/2023,2696343,Cosmetics,10
21/04/2023,2696343,Cosmetics,12
24/04/2023,2696343,Cosmetics,10
27/04/2023,2696343,Cosmetics,7
20/05/2023,2696343,Cosmetics,52
23/05/2023,2696343,Cosmetics,88
26/05/2023,2696343,Cosmetics,37
29/05/2023,2696343,Cosmetics,50
18/06/2023,2696343,Cosmetics,7
21/06/2023,2696343,Cosmetics,8
24/06/2023,2696343,Cosmetics,20
27/06/2023,2696343,Cosmetics,28
20/07/2023,2696343,Cosmetics,15
23/07/2023,2696343,Cosmetics,6
26/07/2023,2696343,Cosmetics,13
18/08/2023,2696343,Cosmetics,16
21/08/2023,2696343,Cosmetics,12
24/08/2023,2696343,Cosmetics,10
27/08/2023,2696343,Cosmetics,13
16/09/2023,2696343,Cosmetics,48
19/09/2023,2696343,Cosmetics,47
22/09/2023,2696343,Cosmetics,39
25/09/2023,2696343,Cosmetics,49
18/10/2023,2696343,Cosmetics,22
21/10/2023,2696343,Cosmetics,13
24/10/2023,2696343,Cosmetics,23
16/11/2023,2696343,Cosmetics,58
19/11/2023,2696343,Cosmetics,40
22/11/2023,2696343,Cosmetics,46
25/11/2023,2696343,Cosmetics,113
15/12/2023,2696343,Cosmetics,14
18/12/2023,2696343,Cosmetics,17
21/12/2023,2696343,Cosmetics,16
24/12/2023,2696343,Cosmetics,7
1/01/2023,2696522,Hayfever,37
4/01/2023,2696522,Hayfever,42
7/01/2023,2696522,Hayfever,38
27/01/2023,2696522,Hayfever,53
30/01/2023,2696522,Hayfever,53
2/02/2023,2696522,Hayfever,49
5/02/2023,2696522,Hayfever,48
28/02/2023,2696522,Hayfever,47
3/03/2023,2696522,Hayfever,28
6/03/2023,2696522,Hayfever,36
9/03/2023,2696522,Hayfever,40
29/03/2023,2696522,Hayfever,38
1/04/2023,2696522,Hayfever,31
4/04/2023,2696522,Hayfever,48
7/04/2023,2696522,Hayfever,23
30/04/2023,2696522,Hayfever,39
3/05/2023,2696522,Hayfever,32
6/05/2023,2696522,Hayfever,22
29/05/2023,2696522,Hayfever,35
1/06/2023,2696522,Hayfever,25
4/06/2023,2696522,Hayfever,34
7/06/2023,2696522,Hayfever,26
27/06/2023,2696522,Hayfever,30
30/06/2023,2696522,Hayfever,22
3/07/2023,2696522,Hayfever,30
6/07/2023,2696522,Hayfever,20
29/07/2023,2696522,Hayfever,30
19/01/2023,2490971,Cold and Flu,13
22/01/2023,2490971,Cold and Flu,16
25/01/2023,2490971,Cold and Flu,6
28/01/2023,2490971,Cold and Flu,10
20/02/2023,2490971,Cold and Flu,15
23/02/2023,2490971,Cold and Flu,27
26/02/2023,2490971,Cold and Flu,21
1/03/2023,2490971,Cold and Flu,14
21/03/2023,2490971,Cold and Flu,10
24/03/2023,2490971,Cold and Flu,15
27/03/2023,2490971,Cold and Flu,23
30/03/2023,2490971,Cold and Flu,20
22/04/2023,2490971,Cold and Flu,28
25/04/2023,2490971,Cold and Flu,23
28/04/2023,2490971,Cold and Flu,25
21/05/2023,2490971,Cold and Flu,37
24/05/2023,2490971,Cold and Flu,51
27/05/2023,2490971,Cold and Flu,31
30/05/2023,2490971,Cold and Flu,45
19/06/2023,2490971,Cold and Flu,40
22/06/2023,2490971,Cold and Flu,29
25/06/2023,2490971,Cold and Flu,33
28/06/2023,2490971,Cold and Flu,27
21/07/2023,2490971,Cold and Flu,20
24/07/2023,2490971,Cold and Flu,24
